                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.37111,                0.59454,                0.83351,                0.84232,                0.83712,                0.84699,                0.82671,                0.28692,                0.53413,                0.80622,               0.070006,              0.0033326,              0.0033326
                      1,                 0.3419,                0.33374,                0.81758,                0.84616,                 0.8362,                0.84546,                0.82908,                0.27543,                0.52933,                0.82011,               0.039874,               0.006534,               0.006534
                      2,                0.35791,                0.35189,                0.84021,                0.84193,                0.83281,                0.84358,                 0.8273,                0.28436,                0.55135,                0.82854,              0.0096102,              0.0096033,              0.0096033
                      3,                0.33868,                 0.3365,                0.83564,                0.84817,                0.83757,                0.84584,                0.83445,                 0.2674,                0.51717,                0.82917,               0.009406,               0.009406,               0.009406
                      4,                 0.3165,                0.31294,                0.83056,                0.84697,                0.84798,                 0.8494,                0.84031,                0.24527,                0.48384,                 0.8135,               0.009406,               0.009406,               0.009406
                      5,                0.29615,                 0.2686,                0.82312,                0.99128,                0.83823,                0.91874,                0.88866,                0.24159,                0.44607,                0.81203,               0.009208,               0.009208,               0.009208
                      6,                0.28557,                0.24332,                0.81875,                0.99074,                0.85062,                0.92616,                0.89336,                0.23902,                0.39945,                0.81439,                0.00901,                0.00901,                0.00901
                      7,                 0.2782,                0.23342,                0.81622,                0.99181,                 0.8478,                0.93003,                0.90051,                0.23161,                0.39965,                0.81059,               0.008812,               0.008812,               0.008812
                      8,                0.27268,                0.22471,                0.81523,                0.91856,                  0.892,                0.94035,                0.90749,                0.22839,                 0.3622,                0.80673,               0.008614,               0.008614,               0.008614
                      9,                0.26919,                0.21766,                0.81384,                0.92161,                 0.8804,                0.93543,                0.90718,                0.22677,                0.36738,                 0.8037,               0.008416,               0.008416,               0.008416
                     10,                0.26371,                 0.2107,                0.81153,                0.92463,                0.88575,                0.93733,                0.91202,                0.22147,                0.36247,                0.80081,               0.008218,               0.008218,               0.008218
                     11,                0.25886,                0.20685,                0.81096,                0.92817,                0.89108,                 0.9401,                0.91503,                0.21855,                0.35476,                0.79921,                0.00802,                0.00802,                0.00802
                     12,                0.25513,                0.19806,                0.80871,                 0.9312,                0.90554,                 0.9473,                0.91948,                 0.2176,                0.33859,                0.79865,               0.007822,               0.007822,               0.007822
                     13,                0.25399,                0.19761,                0.80813,                0.93281,                0.90004,                0.94667,                0.91732,                0.21605,                0.33218,                0.79789,               0.007624,               0.007624,               0.007624
                     14,                0.25074,                0.19258,                0.80701,                0.93084,                0.91765,                0.95331,                0.92409,                0.21441,                0.32463,                0.79697,               0.007426,               0.007426,               0.007426
                     15,                0.24807,                0.19037,                 0.8059,                0.92943,                0.92032,                0.95451,                0.92604,                0.21337,                0.32265,                0.79638,               0.007228,               0.007228,               0.007228
                     16,                0.24649,                0.18606,                0.80621,                0.92768,                0.92387,                0.95633,                0.92771,                 0.2126,                0.31985,                0.79573,                0.00703,                0.00703,                0.00703
                     17,                0.24657,                0.18721,                0.80537,                0.92829,                0.92565,                0.95708,                0.92825,                0.21157,                0.31637,                0.79524,               0.006832,               0.006832,               0.006832
                     18,                0.24358,                0.18481,                0.80461,                0.93018,                0.92811,                0.95801,                0.92981,                0.21008,                0.31321,                0.79435,               0.006634,               0.006634,               0.006634
                     19,                0.24246,                0.17992,                0.80425,                0.93345,                0.93168,                0.95998,                0.93188,                0.20864,                0.30875,                0.79364,               0.006436,               0.006436,               0.006436
                     20,                0.24091,                0.17737,                 0.8035,                0.93213,                0.93278,                0.96052,                0.93241,                0.20796,                0.30606,                0.79346,               0.006238,               0.006238,               0.006238
                     21,                0.23924,                0.17528,                0.80296,                0.93032,                0.93632,                0.96204,                0.93343,                0.20745,                0.30095,                0.79309,                0.00604,                0.00604,                0.00604
                     22,                0.23746,                0.17382,                0.80326,                  0.931,                0.94026,                0.96427,                0.93596,                0.20608,                0.29509,                0.79236,               0.005842,               0.005842,               0.005842
                     23,                0.23609,                0.17547,                0.80162,                0.92996,                0.94454,                0.96577,                0.93717,                0.20516,                0.28724,                0.79168,               0.005644,               0.005644,               0.005644
                     24,                0.23406,                0.16975,                0.80207,                0.93109,                0.94787,                0.96757,                0.93844,                  0.205,                0.28146,                 0.7914,               0.005446,               0.005446,               0.005446
                     25,                0.23131,                0.16626,                0.80047,                0.93007,                0.95083,                0.96889,                0.94005,                0.20418,                0.27501,                0.79075,               0.005248,               0.005248,               0.005248
                     26,                0.23153,                0.16689,                0.80067,                0.92887,                0.95444,                0.97068,                0.94217,                0.20286,                0.26795,                0.78995,                0.00505,                0.00505,                0.00505
                     27,                0.22959,                0.16332,                0.80037,                0.92721,                0.95778,                0.97239,                0.94414,                0.20209,                0.26169,                0.78963,               0.004852,               0.004852,               0.004852
                     28,                0.22819,                0.16185,                0.79878,                 0.9254,                0.95756,                0.97224,                0.94405,                0.20144,                0.25793,                0.78935,               0.004654,               0.004654,               0.004654
                     29,                 0.2263,                0.15771,                0.79973,                0.92568,                0.96023,                0.97327,                0.94444,                0.20114,                0.25039,                0.78901,               0.004456,               0.004456,               0.004456
                     30,                0.22703,                0.16147,                0.79952,                0.92538,                0.96134,                0.97391,                0.94544,                0.20091,                  0.246,                0.78906,               0.004258,               0.004258,               0.004258
                     31,                0.22429,                0.15587,                0.79902,                0.92353,                0.96222,                0.97465,                0.94571,                 0.2004,                0.24095,                0.78888,                0.00406,                0.00406,                0.00406
                     32,                0.22312,                0.15717,                 0.7981,                0.92301,                0.96309,                 0.9751,                0.94673,                0.19968,                0.23838,                0.78847,               0.003862,               0.003862,               0.003862
                     33,                0.22114,                  0.154,                0.79731,                0.92359,                 0.9631,                0.97535,                  0.948,                0.19882,                0.23654,                0.78799,               0.003664,               0.003664,               0.003664
                     34,                0.22103,                0.15484,                0.79765,                0.92654,                0.96399,                0.97581,                0.94864,                0.19808,                0.23268,                0.78764,               0.003466,               0.003466,               0.003466
                     35,                0.21855,                0.14992,                0.79639,                0.92568,                0.96533,                0.97632,                0.94887,                0.19764,                0.22618,                0.78741,               0.003268,               0.003268,               0.003268
                     36,                0.21655,                0.14993,                0.79623,                0.91584,                0.96688,                0.97711,                0.94916,                0.19708,                0.22053,                0.78701,                0.00307,                0.00307,                0.00307
                     37,                0.21633,                0.14672,                0.79541,                0.91367,                0.96931,                0.97827,                0.94982,                0.19599,                0.21455,                0.78633,               0.002872,               0.002872,               0.002872
                     38,                0.21431,                0.14542,                0.79541,                0.94572,                0.96709,                0.97911,                0.95089,                0.19524,                0.20818,                0.78575,               0.002674,               0.002674,               0.002674
                     39,                0.21169,                0.14171,                0.79455,                0.98318,                0.95097,                0.97977,                0.95136,                 0.1945,                 0.2014,                0.78523,               0.002476,               0.002476,               0.002476
                     40,                0.21068,                0.14009,                0.79358,                0.98548,                0.94542,                 0.9804,                0.95162,                 0.1942,                0.19449,                 0.7851,               0.002278,               0.002278,               0.002278
                     41,                0.20924,                 0.1382,                0.79315,                0.98636,                 0.9443,                0.98088,                 0.9526,                0.19319,                0.18819,                0.78467,                0.00208,                0.00208,                0.00208
                     42,                0.20776,                 0.1373,                0.79326,                0.98771,                0.94682,                 0.9817,                0.95337,                0.19217,                0.18353,                0.78416,               0.001882,               0.001882,               0.001882
