                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.13809,                0.20659,                  0.852,                      1,                      1,                  0.995,                0.99492,                0.09701,                0.09271,                0.69363,               0.070004,              0.0033328,              0.0033328
                      1,                0.13832,                0.12843,                0.84561,                0.99999,                      1,                  0.995,                0.99489,                0.09324,                0.07894,                0.69105,               0.039982,              0.0066442,              0.0066442
                      2,                0.13485,                0.12085,                0.84548,                      1,                      1,                  0.995,                0.99493,                 0.0938,                 0.0701,                0.68991,              0.0099384,              0.0099335,              0.0099335
                      3,                0.11933,                 0.1071,                0.84026,                0.99999,                      1,                  0.995,                0.99493,                0.08416,                 0.0637,                0.68676,               0.009901,               0.009901,               0.009901
                      4,                0.10149,                0.09304,                0.83465,                      1,                      1,                  0.995,                0.99493,                0.06834,                0.05634,                0.68275,               0.009901,               0.009901,               0.009901
                      5,                 0.0937,                0.08612,                0.83378,                      1,                      1,                  0.995,                0.99494,                0.06716,                 0.0559,                0.68225,               0.009868,               0.009868,               0.009868
                      6,                0.08934,                0.08158,                0.83164,                      1,                      1,                  0.995,                0.99494,                 0.0629,                0.05403,                0.68179,               0.009835,               0.009835,               0.009835
                      7,                0.08591,                0.07827,                0.83095,                      1,                      1,                  0.995,                0.99494,                0.05949,                0.05176,                0.68129,               0.009802,               0.009802,               0.009802
                      8,                0.08221,                0.07625,                0.83134,                      1,                      1,                  0.995,                0.99495,                0.05893,                0.05116,                 0.6811,               0.009769,               0.009769,               0.009769
                      9,                0.08114,                 0.0741,                0.83045,                      1,                      1,                  0.995,                0.99496,                 0.0582,                0.05123,                0.68109,               0.009736,               0.009736,               0.009736
                     10,                0.08072,                 0.0764,                0.83045,                      1,                      1,                  0.995,                0.99496,                0.05752,                0.05178,                0.68106,               0.009703,               0.009703,               0.009703
                     11,                0.08044,                0.07568,                0.82957,                      1,                      1,                  0.995,                0.99496,                0.05602,                0.05128,                0.68088,                0.00967,                0.00967,                0.00967
                     12,                0.07996,                0.07654,                0.82941,                      1,                      1,                  0.995,                0.99495,                0.05447,                0.05173,                0.68076,               0.009637,               0.009637,               0.009637
                     13,                0.07944,                0.07285,                0.82909,                      1,                      1,                  0.995,                0.99497,                0.05457,                0.05234,                0.68097,               0.009604,               0.009604,               0.009604
                     14,                0.07723,                0.07152,                0.82811,                      1,                      1,                  0.995,                0.99495,                0.05385,                0.05241,                0.68104,               0.009571,               0.009571,               0.009571
                     15,                0.07794,                0.07118,                0.82933,                      1,                      1,                  0.995,                0.99497,                0.05396,                0.05286,                0.68136,               0.009538,               0.009538,               0.009538
                     16,                0.07562,                0.07009,                0.82812,                      1,                      1,                  0.995,                0.99497,                0.05504,                 0.0543,                0.68164,               0.009505,               0.009505,               0.009505
                     17,                 0.0738,                0.06813,                0.82786,                      1,                      1,                  0.995,                0.99497,                0.05485,                0.05375,                0.68141,               0.009472,               0.009472,               0.009472
                     18,                0.07591,                0.07213,                0.82776,                      1,                      1,                  0.995,                0.99496,                0.05419,                0.05246,                0.68098,               0.009439,               0.009439,               0.009439
                     19,                0.07479,                0.06877,                0.82874,                      1,                      1,                  0.995,                0.99497,                0.05323,                0.05159,                 0.6807,               0.009406,               0.009406,               0.009406
                     20,                0.07452,                0.06859,                0.82825,                      1,                      1,                  0.995,                0.99496,                0.05211,                0.04994,                0.68044,               0.009373,               0.009373,               0.009373
                     21,                0.07317,                0.06695,                0.82771,                      1,                      1,                  0.995,                0.99496,                0.05179,                0.04842,                0.68025,                0.00934,                0.00934,                0.00934
                     22,                0.07345,                 0.0677,                0.82765,                      1,                      1,                  0.995,                0.99496,                0.05347,                0.04848,                0.68026,               0.009307,               0.009307,               0.009307
                     23,                0.07267,                0.06631,                0.82801,                      1,                      1,                  0.995,                0.99496,                 0.0537,                0.04772,                0.68012,               0.009274,               0.009274,               0.009274
                     24,                0.07291,                0.06656,                0.82701,                      1,                      1,                  0.995,                0.99496,                0.05234,                0.04674,                0.67979,               0.009241,               0.009241,               0.009241
                     25,                0.07273,                0.06735,                0.82669,                      1,                      1,                  0.995,                0.99493,                0.05096,                0.04623,                0.67964,               0.009208,               0.009208,               0.009208
                     26,                0.07196,                0.06702,                0.82712,                      1,                      1,                  0.995,                0.99496,                0.05015,                0.04681,                0.67959,               0.009175,               0.009175,               0.009175
                     27,                0.07156,                0.06577,                0.82882,                      1,                      1,                  0.995,                0.99494,                0.05034,                0.04651,                0.67951,               0.009142,               0.009142,               0.009142
                     28,                    inf,                0.06513,                0.82759,                      1,                      1,                  0.995,                0.99496,                    inf,                0.04591,                0.67945,               0.009109,               0.009109,               0.009109
                     29,                0.07026,                0.06421,                0.82804,                      1,                      1,                  0.995,                0.99496,                0.05088,                0.04529,                0.67957,               0.009076,               0.009076,               0.009076
                     30,                0.07064,                0.06444,                0.82769,                      1,                      1,                  0.995,                0.99496,                 0.0495,                0.04471,                0.67935,               0.009043,               0.009043,               0.009043
                     31,                0.06936,                0.06313,                0.82741,                      1,                      1,                  0.995,                0.99496,                  0.049,                0.04408,                0.67927,                0.00901,                0.00901,                0.00901
                     32,                0.06969,                0.06315,                0.82779,                      1,                      1,                  0.995,                0.99496,                0.04811,                0.04355,                0.67906,               0.008977,               0.008977,               0.008977
                     33,                 0.0697,                0.06331,                0.82755,                      1,                      1,                  0.995,                0.99496,                0.04882,                0.04289,                0.67901,               0.008944,               0.008944,               0.008944
                     34,                0.06866,                 0.0626,                0.82767,                      1,                      1,                  0.995,                0.99496,                0.04858,                0.04247,                 0.6789,               0.008911,               0.008911,               0.008911
                     35,                0.06914,                0.06316,                0.82785,                      1,                      1,                  0.995,                0.99496,                0.04953,                0.04298,                0.67888,               0.008878,               0.008878,               0.008878
                     36,                0.06734,                0.06229,                0.82628,                      1,                      1,                  0.995,                0.99496,                0.05104,                0.04384,                0.67888,               0.008845,               0.008845,               0.008845
                     37,                0.06719,                0.06087,                0.82695,                      1,                      1,                  0.995,                0.99496,                0.05017,                0.04355,                0.67863,               0.008812,               0.008812,               0.008812
                     38,                0.06805,                0.06266,                0.82743,                      1,                      1,                  0.995,                0.99496,                0.04828,                0.04213,                0.67837,               0.008779,               0.008779,               0.008779
                     39,                0.06766,                0.06126,                0.82779,                      1,                      1,                  0.995,                0.99496,                0.04748,                0.04091,                0.67824,               0.008746,               0.008746,               0.008746
                     40,                0.06904,                0.06257,                0.82801,                      1,                      1,                  0.995,                0.99495,                0.04737,                0.04032,                0.67832,               0.008713,               0.008713,               0.008713
                     41,                0.06912,                0.06373,                0.82796,                      1,                      1,                  0.995,                0.99496,                0.04697,                0.03991,                 0.6782,                0.00868,                0.00868,                0.00868
                     42,                0.06795,                0.06267,                0.82722,                      1,                      1,                  0.995,                0.99495,                  0.047,                0.03975,                0.67817,               0.008647,               0.008647,               0.008647
                     43,                0.06767,                0.06208,                0.82687,                      1,                      1,                  0.995,                0.99496,                0.04653,                0.03947,                0.67812,               0.008614,               0.008614,               0.008614
                     44,                0.06689,                0.06074,                0.82705,                      1,                      1,                  0.995,                0.99495,                0.04569,                0.03913,                0.67796,               0.008581,               0.008581,               0.008581
                     45,                0.06667,                0.06196,                0.82756,                      1,                      1,                  0.995,                0.99495,                0.04479,                0.03881,                0.67782,               0.008548,               0.008548,               0.008548
                     46,                0.06648,                0.06145,                0.82685,                      1,                      1,                  0.995,                0.99496,                0.04489,                0.03942,                0.67781,               0.008515,               0.008515,               0.008515
                     47,                0.06666,                0.06204,                0.82638,                      1,                      1,                  0.995,                0.99496,                 0.0451,                0.03998,                0.67771,               0.008482,               0.008482,               0.008482
