                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7254,                 1.4271,                 1.3616,                0.65421,                0.51926,                 0.5784,                0.31316,                 1.5452,                 1.2741,                 1.2697,                0.07006,              0.0033267,              0.0033267
                      1,                 1.6105,                  1.138,                  1.284,                0.71346,                0.55494,                 0.6284,                0.34505,                 1.4878,                 1.1572,                 1.2603,               0.040047,              0.0066468,              0.0066468
                      2,                 1.6088,                 1.1315,                 1.2907,                0.69672,                0.50767,                0.58537,                0.32329,                 1.5213,                 1.3267,                 1.2884,                0.01002,              0.0099538,              0.0099538
                      3,                 1.6071,                 1.1197,                 1.3018,                0.74307,                0.51915,                0.62406,                0.35441,                 1.5119,                 1.0932,                 1.2736,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.576,                 1.0825,                  1.289,                0.78049,                0.53752,                0.65534,                0.38912,                 1.4418,                0.98433,                 1.2545,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5491,                 1.0555,                 1.2775,                0.76945,                0.54459,                0.65721,                0.38864,                 1.4204,                0.97367,                 1.2383,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5406,                  1.037,                 1.2691,                0.78476,                0.55532,                0.67206,                0.40289,                  1.418,                0.93171,                 1.2241,               0.009901,               0.009901,               0.009901
                      7,                  1.522,                 1.0212,                 1.2619,                0.77619,                0.55102,                0.66843,                0.39933,                 1.4158,                 0.9237,                 1.2291,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.513,                 1.0042,                 1.2547,                0.77299,                0.56542,                0.67973,                 0.4091,                 1.4011,                0.91142,                 1.2225,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4997,                0.99319,                 1.2496,                0.78918,                0.56053,                0.68075,                0.41551,                 1.3994,                0.89842,                 1.2212,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4943,                0.98589,                 1.2465,                0.79411,                0.56507,                0.68452,                 0.4181,                 1.3927,                0.88808,                 1.2146,              0.0098218,              0.0098218,              0.0098218
                     11,                  1.491,                0.97925,                 1.2453,                0.77772,                0.57105,                0.68549,                0.41824,                 1.3803,                0.89049,                  1.209,               0.009802,               0.009802,               0.009802
                     12,                 1.4831,                0.97112,                 1.2407,                0.78539,                0.57172,                0.68992,                0.42142,                 1.3693,                0.88698,                 1.2036,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.4779,                0.96737,                 1.2391,                0.78569,                0.57471,                0.69164,                0.42036,                  1.383,                0.87487,                 1.2032,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.4721,                0.95819,                 1.2349,                0.79449,                0.58841,                0.70356,                0.43161,                 1.3634,                0.85867,                  1.195,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.4686,                0.95437,                 1.2316,                 0.8007,                0.58829,                0.70276,                0.43292,                 1.3595,                0.85031,                 1.1913,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.4619,                0.94755,                 1.2261,                0.79037,                0.58883,                0.70072,                0.43394,                 1.3497,                0.85673,                 1.1847,               0.009703,               0.009703,               0.009703
                     17,                 1.4604,                0.94172,                  1.223,                0.79548,                0.58579,                0.70187,                0.43536,                 1.3502,                0.84064,                 1.1885,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.4591,                0.94182,                 1.2274,                0.79805,                0.58448,                0.70475,                0.43748,                 1.3458,                0.83665,                 1.1898,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.4521,                0.93403,                 1.2235,                0.80602,                0.58871,                0.70509,                0.43862,                 1.3438,                0.83965,                 1.1874,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.449,                0.93381,                 1.2218,                0.79553,                0.60077,                0.71304,                0.44259,                 1.3368,                0.82847,                 1.1901,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.4468,                0.92679,                 1.2181,                0.79793,                0.60025,                 0.7132,                0.43792,                 1.3525,                0.82793,                 1.1894,               0.009604,               0.009604,               0.009604
                     22,                 1.4442,                0.92741,                 1.2204,                0.80184,                 0.5974,                0.71108,                0.44256,                 1.3337,                0.83089,                 1.1897,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.4405,                0.92088,                 1.2139,                0.79676,                0.60761,                0.71857,                0.44887,                 1.3335,                0.81842,                 1.1817,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.4422,                0.91992,                 1.2164,                0.80852,                0.59439,                0.71519,                0.44585,                   1.33,                0.81848,                 1.1823,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.4356,                0.91567,                 1.2131,                0.80449,                 0.6018,                 0.7179,                 0.4463,                 1.3302,                0.82165,                 1.1815,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.4343,                0.91445,                 1.2131,                0.79909,                0.60397,                0.71579,                0.44642,                 1.3369,                0.81039,                 1.1797,               0.009505,               0.009505,               0.009505
                     27,                 1.4329,                  0.911,                 1.2124,                0.80837,                0.60152,                0.71819,                0.44709,                 1.3221,                0.81324,                 1.1736,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.4322,                0.91113,                 1.2107,                0.80435,                0.60561,                0.71958,                0.45101,                 1.3291,                0.81393,                 1.1746,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.4276,                0.90298,                 1.2067,                0.81023,                0.60138,                0.71934,                0.44838,                 1.3249,                0.80866,                 1.1722,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.4289,                0.90464,                 1.2064,                0.81794,                0.60212,                 0.7204,                0.45162,                  1.319,                0.80496,                  1.172,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.4237,                0.90272,                  1.205,                0.80776,                0.60433,                0.72068,                0.45283,                 1.3131,                 0.8021,                  1.173,               0.009406,               0.009406,               0.009406
